user_id,f0_
uid-1661452228895-91596,892
uid-1691521156187-18774,889
uid-1671471496006-40253,888
uid-1638583287299-79246,887
uid-1616539372810-12321,887
uid-1620758691660-94487,886
uid-1690945471997-23861,879
uid-1676701714884-56459,877
uid-1692903894650-2894,874
uid-1687024202788-17218,872
uid-1681232951599-65964,871
uid-1648168480579-62704,868
uid-1692577635052-20783,867
uid-1651542092432-91485,865
uid-1674006179226-60829,865
uid-1681951542329-69228,860
uid-1691702930948-23541,854
uid-1691178233778-32942,851
uid-1658192523806-93232,849
uid-1692675497256-39111,847
uid-1691468123820-64797,841
uid-1666758822248-17344,838
uid-1692736003827-19585,835
uid-1672632085786-90627,823
uid-1691177402298-38354,822
uid-1685311352444-53491,818
uid-1691876279332-51744,813
uid-1691801441429-19629,812
uid-1689707959175-58253,812
uid-1692041784372-28862,808
uid-1692533132600-21842,807
uid-1685406287253-61972,803
uid-1692139419595-61403,801
uid-1618178745604-96324,801
uid-1591487596226-35312,800
uid-1673373007499-34843,797
uid-1692081876937-5057,788
uid-1687215795827-83514,785
uid-1692411314497-88658,782
uid-1690924447506-71939,779
uid-1691641801764-48578,776
uid-1617671455987-28703,771
uid-1690858486153-6463,768
uid-1692284085474-13637,768
uid-1691267956442-33332,766
uid-1680061022111-80838,766
uid-1691448117452-23324,765
uid-1692124655012-16258,761
uid-1685146938357-87869,760
uid-1691120173547-54267,755
uid-1681011515738-23598,753
uid-1676662735889-91163,746
uid-1688487570849-82449,744
uid-1690577367429-42048,742
uid-1691732937928-59835,741
uid-1690837166219-57690,739
uid-1691013115037-54690,737
uid-1691275131431-86599,737
uid-1691353676005-98216,736
uid-1691349123728-38970,736
uid-1689875549564-71190,736
uid-1691851413674-72747,735
uid-1692679166400-34392,735
uid-1616599092839-56195,733
uid-1686683428786-43295,730
uid-1659040775162-35018,727
uid-1651268447446-90939,726
uid-1691550623511-49461,724
uid-1692106735432-46858,721
uid-1692575265191-60521,721
uid-1616780881646-73330,720
uid-1683053323085-70443,718
uid-1691371336545-94288,718
uid-1644182378269-5547,718
uid-1690693173449-23027,717
uid-1686279684512-70097,716
uid-1683058563613-20965,714
uid-1690666404727-46273,713
uid-1665619567703-12259,713
uid-1692312357803-40370,707
uid-1691968581861-19355,703
uid-1691768089605-75767,703
uid-1688596900678-60584,703
uid-1687189966585-30348,702
uid-1635289490779-81413,702
uid-1664987335750-11696,701
uid-1692736835864-52725,701
uid-1624490440675-11405,698
uid-1665189919566-44028,697
uid-1690433532173-73897,696
uid-1674095025557-91802,695
uid-1631838107985-48096,694
uid-1691446889354-48593,694
uid-1692599962565-48884,689
uid-1682446511251-51322,686
uid-1692005810872-54488,686
uid-1691540395076-89836,685
uid-1692610685963-85189,682
uid-1692936898208-65274,681
uid-1592355283059-28018,681
uid-1685430531635-33243,680
uid-1639007523817-61751,679
uid-1671231671758-59399,679
uid-1626732320956-21044,677
uid-1685569451888-93877,677
uid-1616547714965-22421,676
uid-1690956247631-12018,676
uid-1684222302881-94967,675
uid-1692046783621-63289,674
uid-1616610938715-79831,673
uid-1693008713297-63021,673
uid-1692144945849-90768,673
uid-1693107492012-89640,671
uid-1689018611533-73969,670
uid-1596697241941-45067,669
uid-1691727293641-46098,668
uid-1692050720848-78191,666
uid-1691831293126-12385,664
uid-1690308058927-54027,663
uid-1691442156363-57189,661
uid-1688674679262-1158,659
uid-1691459108216-85456,659
uid-1692561041942-50700,659
uid-1625971072629-92864,658
uid-1690244630761-12356,658
uid-1691462421117-43606,657
uid-1692726383688-18260,656
uid-1616540602999-51611,656
uid-1692165646709-3902,655
uid-1691454594993-91262,654
uid-1692237427888-10458,652
uid-1690920610730-4888,650
uid-1691044855162-52086,650
uid-1690263251601-40337,650
uid-1692108370486-5741,649
uid-1691737559377-46557,649
uid-1658188934657-65774,648
uid-1589939718058-88726,648
uid-1691026231804-36966,648
uid-1691623485741-13047,646
uid-1616622796409-30339,643
uid-1630437438282-68600,642
uid-1690859743394-21751,642
uid-1691879577920-24118,640
uid-1691282856851-35710,640
uid-1642045767682-97306,639
uid-1691625698361-25023,639
uid-1616630422483-74612,639
uid-1679557993442-73149,638
uid-1688316978822-38133,633
uid-1690239467843-59587,632
uid-1689524166778-11857,631
uid-1693202008654-27025,630
uid-1689948878763-63169,629
uid-1689295984561-8742,629
uid-1691987970795-43398,629
uid-1673307202035-39607,628
uid-1691526553241-34058,626
uid-1616553729520-19124,625
uid-1691940787712-93094,623
uid-1689718215573-62334,622
uid-1692729681855-62804,622
uid-1691537300910-97927,621
uid-1691213567473-12539,620
uid-1686351693852-29038,619
uid-1692671336374-2132,619
uid-1690665831573-10897,618
uid-1692300311400-8007,617
uid-1673124631562-23191,616
uid-1658336968703-72554,616
uid-1679765928286-97248,615
uid-1681186601122-34310,615
uid-1693240103968-13043,613
uid-1662136115476-90468,612
uid-1688389060923-8388,612
uid-1691636624271-25527,612
uid-1683058245308-83854,612
uid-1616553183273-26526,612
uid-1690201593830-88187,610
uid-1692766708467-48261,609
uid-1692721777674-76370,609
uid-1691390732275-80031,609
uid-1690931887541-47727,608
uid-1685324641156-10076,608
uid-1674891379100-54593,607
uid-1691304355511-16289,607
uid-1682281835044-22591,606
uid-1691967535830-1991,606
uid-1689647576125-77621,605
uid-1687640281976-1942,605
uid-1670877999626-96715,605
uid-1691353905680-74233,605
uid-1692749744823-70956,605
uid-1691968818826-85261,604
uid-1691713645817-26847,603
uid-1691343629163-33717,601
uid-1691602760440-43687,599
uid-1668198349971-69432,599
uid-1690794677317-64360,598
uid-1692154594460-51358,598
uid-1691752486342-2151,598
uid-1690140915000-1922,597
uid-1690855678133-16410,596
uid-1692378064212-64620,596
uid-1690652808102-39136,595
uid-1692992829610-88382,595
uid-1686373753951-90945,592
uid-1692558934581-16654,592
uid-1689733333368-79462,591
uid-1688828224906-17448,590
uid-1687474374435-9687,588
uid-1692669845714-73783,588
uid-1693246034924-60435,586
uid-1683134460236-52073,586
uid-1692214240725-7774,585
uid-1692500677838-18626,583
uid-1692476854906-9097,583
uid-1691483385297-35455,583
uid-1691337639785-75468,581
uid-1662469851824-5826,577
uid-1692158341031-43176,575
uid-1668803600817-62838,575
uid-1691598383022-25996,574
uid-1676442373469-82888,574
uid-1691782691181-65286,574
uid-1691127724098-61623,574
uid-1686770814831-70413,574
uid-1687984380779-75736,573
uid-1686091713170-410,572
uid-1684625196800-29070,572
uid-1689811766677-18052,571
uid-1692853542803-63228,571
uid-1691862133891-4761,571
uid-1690866719830-62228,570
uid-1692236266803-52076,569
uid-1660252655347-75461,566
uid-1690198171216-57438,566
uid-1691549756558-38920,565
uid-1690899088931-67945,565
uid-1691642207758-5183,562
uid-1693358638296-62410,562
uid-1691466846265-50762,561
uid-1690466543023-49025,560
uid-1687630048962-59118,559
uid-1689657191812-87279,558
uid-1691477963715-95570,557
uid-1693077704760-16214,556
uid-1688962653654-13936,555
uid-1691913558453-57216,555
uid-1691029803654-96982,555
uid-1683748876061-17277,554
uid-1606849876153-68163,552
uid-1690859419167-31227,551
uid-1691113000550-11026,551
uid-1690950362241-80154,550
uid-1692107200758-28816,550
uid-1691957900069-64836,549
uid-1692045239340-66978,548
uid-1692916335454-74673,548
uid-1690856745365-64330,547
uid-1692554405404-37005,546
uid-1692150544606-7054,545
uid-1692489450976-12869,545
uid-1693277709284-63477,544
uid-1623474684021-32036,544
uid-1692460370344-18929,544
uid-1684973836700-33755,544
uid-1691311105929-82472,543
uid-1680745936500-5222,542
uid-1685143508217-63840,540
uid-1692166556899-45193,540
uid-1691718318701-67580,539
uid-1624742182978-10685,538
uid-1676837759325-79052,537
uid-1692647058023-87349,536
uid-1684206210720-53266,536
uid-1691643193110-72543,535
uid-1693445359912-54207,534
uid-1692852516184-56390,534
uid-1692877881635-40251,534
uid-1596611985761-38875,533
uid-1647743823210-58021,532
uid-1692678006893-8045,531
uid-1693170268972-16698,531
uid-1672035394641-87580,529
uid-1691967976068-91913,529
uid-1688691818589-22873,527
uid-1691265029129-18161,527
uid-1691177337684-66632,527
uid-1691301703691-59243,526
uid-1692810039269-69493,524
uid-1692311299904-45308,524
uid-1691188632154-2060,523
uid-1692808939249-16333,523
uid-1688087204195-43394,523
uid-1691453315687-668,523
uid-1692319709439-92545,523
uid-1692646469479-89293,521
uid-1691034181596-63739,520
uid-1691171731357-66337,520
uid-1692839786262-8720,519
uid-1692315283898-48657,517
uid-1693377030520-54442,517
uid-1692465128260-13044,517
uid-1664575854298-16665,516
uid-1692676331928-36421,515
uid-1692644557553-18363,515
uid-1692642690186-7803,515
uid-1691180057228-66052,514
uid-1692052504875-92042,514
uid-1692502140486-48543,513
uid-1590040428567-34572,513
uid-1691833890877-10416,513
uid-1680731605996-96495,511
uid-1692844301257-40374,511
uid-1692420885063-33632,511
uid-1691260889670-23414,510
uid-1692840554802-96542,509
uid-1691014867129-79739,509
uid-1690670582732-66455,508
uid-1692030878517-25405,508
uid-1691022874826-4381,508
uid-1693193327201-81038,508
uid-1691188302199-23826,507
uid-1691008975570-93238,506
uid-1691293553880-80670,506
uid-1664117043018-24034,506
uid-1670177291685-41186,505
uid-1690238802026-74319,505
uid-1651085067620-18976,504
uid-1689565805620-2162,504
uid-1687297183392-15650,503
uid-1693283341957-1808,503
uid-1691005525442-63020,503
uid-1684974790793-76512,502
uid-1691875734601-61226,502
uid-1692676372757-1173,502
uid-1683154800199-27265,501
uid-1663870078967-17761,500
uid-1692492655276-57445,499
uid-1691362625638-25330,498
uid-1692543692789-60634,498
uid-1692152346933-17959,498
uid-1691515817045-8423,498
uid-1658698159225-21973,496
uid-1691349941094-47956,496
uid-1691072873363-78682,495
uid-1693334641984-2948,495
uid-1693013819732-61832,494
uid-1692481693107-68451,494
uid-1691789693455-30851,494
uid-1690586979688-28013,494
uid-1595377428144-6221,493
uid-1691133744031-36900,493
uid-1691716568466-32789,493
uid-1595954944829-24378,493
uid-1692727680228-41589,493
uid-1661973810244-60102,492
uid-1693319185287-81973,492
uid-1682449756781-19857,491
uid-1633302676746-23166,490
uid-1618188745596-30843,490
uid-1682620140317-2444,489
uid-1642443198370-47916,489
uid-1692673389660-44198,488
uid-1690826092235-45907,488
uid-1692753919576-57967,488
uid-1690678951350-39062,488
uid-1690556734852-96114,488
uid-1691086001101-93521,488
uid-1690667415120-1889,488
uid-1692471702451-51783,488
uid-1690741804334-68990,488
uid-1691504382857-25957,487
uid-1691965855486-89829,486
uid-1690410127223-88533,486
uid-1688923578490-71818,485
uid-1627757377501-25412,485
uid-1600578074691-92504,485
uid-1692076789525-74196,484
uid-1691537157022-85266,484
uid-1690922097727-86066,483
uid-1691286214454-4659,483
uid-1692321521820-59579,482
uid-1690332902906-33568,482
uid-1690479929096-53160,481
uid-1690782755454-86167,481
uid-1686864837216-60551,481
uid-1690780838640-51928,481
uid-1693280544889-17859,479
uid-1691193140319-24679,478
uid-1662401553992-22739,478
uid-1692718670691-71794,478
uid-1682959544683-72490,477
uid-1693270591920-14622,477
uid-1691765394304-33791,476
uid-1691884606193-84611,476
uid-1678212456076-90632,476
uid-1691935806949-58922,475
uid-1680824467020-12065,475
uid-1666844979405-84989,474
uid-1692753830249-7712,473
uid-1691439535691-90493,472
uid-1657494178937-56286,471
uid-1690989863921-61159,471
uid-1691432594203-32306,471
uid-1691969019614-90708,471
